Questions,ans1,ans2,class
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,1
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",The input layer passes the data directly to the first hidden layer where the data is multiplied by the first hidden layer's weights.,0
what do you know about input layer?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Input Layer: Input variables, sometimes called the visible layer.",0
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.","Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.",1
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",Overfitting refers to a model that models the training data too well. Overfitting happens when a model learns the detail and noise in the training data to the extent that it negatively impacts the performance of the model on new data.,0
"What do you mean by ""overfitting""?","Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.","Overfitting is a term used in statistics that refers to a modeling error, rather than the relationships between variables.",0
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,1
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",Autoencoder is an unsupervised artificial neural network that learns how to efficiently compress and encode data then learns how to reconstruct the data back from the reduced encoded representation to a representation that is as close to the original input as possible.,0
What do you understand by Autoencoder?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"Autoencoder is an unsupervised artificial neural network that learns how to efficiently compress and encode data, and then uncompress that code into whatever format best matches the original input.",0
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.","Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.",1
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",initializing weights with too-small values will lead to divergence or a slow-down in the training of your neural network A too-large initialization this leads to the exploding gradient problem.,0
What is the meaning of term weight initialization in neural networks?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","initializing weights with too-small values will lead to divergence, too-large values will lead to exploding.",0
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.","Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",1
